text,label
year since sharon stone awarded viewer leg crossing twisted many people mind god know game basic instinct sequel smash hit erotica basic instinct featuring sexy stone vulnerable michael douglas however fan original might even get close one since instinct painful film making mediocre director michael caton jones assassinates legacy first film br br plot movie start car explosion break right beginning catherine tramell sharon stone trying look forcefully sexy suspect appears involved murder psychiatrist horrible david morrisey appointed examine eventually fall intimate game seduction br br without explanation basic force move instinct nothing much explained sit sleazy c class erotic film sharon stone star first role time turn part amateurish writing careless direction terrifyingly low chemistry movie full vulgar dialogue even sexuality menage trois scene cut rated nc first entrance series instinct compelling torture br br top everything made original film guilty pleasure found anywhere film acting really bad sharon stone highlight get extremely obnoxious david morrisey star worst role life seems never make two expression movie confused aroused instinct horrible way continue otherwise original series managed put thriller erotica extremely well paul verhoeven miss br br basic instinct never sounded like good movie indeed film never get paper feeling get watching much easier understand douglas david cronenberg dropped sharon stone expecting huge paycheck,0.0
someone needed make car payment truly awful make jean claude cyborg look like gone wind hour wish could sue get back luckily produced severe somnolence fell asleep actor caliber create dog would rather spend time watching algae grow side fish tank partake wholly awful concoction several genre use dvd coaster coffee table walmart far much spend movie really wait till throw carried inventory several year frustrated would sell br br please love god let movie die obscurity,0.0
guideline state comment must contain minimum four line reason saying anything tomcat one line summary really say everything say absolutely nothing remotely entertaining film,0.0
movie muddled mish mash clich recent cinema promising idea director clearly aiming wind hauntingly ambiguous film ended confusing mess lead actor daniel wu fair job central theme seems though much work furthermore movie largely devoid scare although fairness creepy moment amid drudgery br br mild spoiler br br mysterious death estranged twin diabolical librarian ghostly love interest identity confusion death savage monkey oedipal conflict abusive stepfather sublimated homosexuality crime gang connection real commonality element share seems cause protagonist express vague sense confusion discontent br br perhaps disappointing aspect film despite brother death monkey strongly featured dvd cover act never directly portrayed instead director julian lee us appears stock footage monkey scary br br end spoiler br br avoid one excellent psychological ambiguous horror tale check korean film tale two sister,0.0
stan laurel became smaller half time greatest comedy team laboured contract broncho billy anderson series cheapies many parody major hollywood feature following dispute anderson laurel continued informal series parody joe rock smaller indigent production company br br laurel parody film mildly funny time even le funny modern audience seen original movie laurel parodying west hot dog fairly generic parody cowboy shoot em ups marginally specific parody west pecos oater released two year earlier major actor since west pecos never huge success difficult see stan film unit chose particular movie target lampoonery much le waited long release parody get title west hot dog possibly fact hot dog sexual interjection favoured american lecher opening scene stage play machinal br br west hot dog produced co directed joe rock among many achievement rock introduced laurel lois neilson subsequently best man wedding full disclosure last year life great privilege befriending joe rock interviewing nearly ninety year old time rock memory impressively clear remembered nothing west hot dog blame movie eminently forgettable br br leading lady character named little mustard meant parody something west pecos get couple impossible gag including laurel method mounting horse one moment movie stan laurel reminded great buster keaton suddenly broke run west hot dog vaguely similar subject matter tone keaton short comedy frozen north keaton version much funnier plot film somewhat anticipates situation keaton feature hospitality suffers comparison two tough varmint brother expect inherit last chance saloon previous owner bequeathed weakling tenderfoot stan however brother become legal heir stan dy hmmm br br seriously though bequest legal soon stan take possession property surely question ownership inheritance become decision previous owner decision plenty time consider point law watching dull comedy br br one point gag involves crude animation drawn directly onto film stock look cheap funny br br hot dog weiner winner whiner rating one point hang stan year one half comedy legend,0.0
best movie ever seen br br maybe live mile village story take place know thing work area sweden movie tell truth believe criticizes honor lifestyle dalarna producer want people watch movie opened minded care closest friend relative br br live another small village anywhere sweden another country probably also recognize much movie br br thank maria blom,1.0
morbid catholic writer gerard reve jeroen krabb homosexual alcoholic frequent vision death invited give lecture literature club vlissingen railway station amsterdam feel non corresponded attraction handsome man embarks another train gerard introduced treasurer club beautician christine halsslag ren e soutendijk wealthy widow owns beauty shop sphinx one night stand next morning gerard see picture christine boyfriend herman thom hoffman recognizes man saw train station suggests bring herman house spend couple day together secret intention seducing man christine travel k ln bring boyfriend gerard stay alone house drink whiskey snoop safe finding three film reel name men decides watch footage discover christine married three guy died tragic accident later gerard belief christine witch question whether herman doomed fourth husband br br ambiguous vierde man another magnificent feature paul verhoeven dutch phase story supported excellent screenplay us catholic symbol build tension associated smart dialog magnificent performance jeroen krabb role disturbed alcoholic writer stunning cinematography inconclusive resolution open interpretation like many european movie explore common sense intelligence viewer mediocre director use front nudity men promote film however paul verhoeven us nudity gerard reve part plot never aggressive seeking sensationalism last least androgynous beauty sexy ren e soutendijk perfectly fit role woman attracts gay writer vote eight br br title brazil homem th man,1.0
semana santa angel death weak movie mira sorvino play detective trying find killer shoot arrow people mira italian accent falter time time speak english character forced mexican english accent distracting dialogue bad delivery wooden cinematography look nice enough save tripe next part review contain spoiler br br climax look like villain going get away come back stair get shot cool stunt railing show script originality whatsoever avoid,0.0
somebody mastered difficult task merging sport romance reality sport romance go together like oil water successfully put two together screen well equivalent splitting atom never thought could done first say general like romantic comedy like sport movie sport movie pretty good mix two baseball fan could really appreciate comedic ordeal ben wrightman jimmy falon rabid boston redsox fan anyone know anything baseball know curse babe plagued redsox year know nut baseball lot redsox fan farrely brother great job capturing made good comedy good movie could appeal many,1.0
waste hour life watching film even made even commenting film br br one reviewer said film took patience watch n everybody figure movie maybe dropping hit acid somebody somewhere could watch make sense incoherent experimental plain simple garbage film follows plot line whatsoever think something well br br think ending brought finality film pun intended viewer get glimpse might going think put spoiler would matter film another must miss world filmdom,0.0
film take one family impossible journey make feel every step odyssey beautifully acted photographed heartbreakingly real last line wistful hope one powerful memory,1.0
russian space station avna crew four russian two american threatening enter earth atmosphere matter day russia asks nasa help rescuing stranded crew nasa scramble space shuttle atlantis nsa also interest prometheus prototype microwave power source tested aboard avna organise one men placed mission br br plot onto le important thing space station shuttle blatantly obvious model used fallout memorial day dark breed handful film suspect model effect obvious throughout entire movie make film look set little better far supposedly brand new station built american company later come part conspiracy destroy avna prometheus claim insurance script good moment including yuri farewell little spiel end otherwise fairly bland sub standard acting okay real standout performance come alex veadov offer film better dialogue michael dudikoff surprisingly one best part film ice ice nuff said film offer surprise though wish spoil br br certainly one better low grade contemporary set sci fi film last six year best film watchable special effect plot probably put lot viewer rent stranded sci fi film instead,0.0
think nothing redeeming br br movie saw month ago memory might made br br worse know least bad br br br br seeing movie met director seemed clueless br br done far br br could tell care film either even agreed br br really know forced br br certain thing filmed digitally br br felt movie trying hard fit formula br br built people connected way br br get point point b order get br br prostitute see start back end br br minute character relationship another person br br make one feel choked demensional badly drawn br br character br br remembered one redeeming part movie steve br br bouchemi one scene amazing br br say,0.0
